,feature_combination,best_n_neighbors,best_cv_score
0,"('age', 'sex', 'cp', 'trestbps')",19,0.7254765796709562
1,"('age', 'sex', 'cp', 'chol')",7,0.7661821210431642
2,"('age', 'sex', 'cp', 'fbs')",13,0.7430277615567471
3,"('age', 'sex', 'cp', 'restecg')",1,0.7533286858069468
4,"('age', 'sex', 'cp', 'thalach')",7,0.7528225691618731
5,"('age', 'sex', 'cp', 'exang')",17,0.7478477223259832
6,"('age', 'sex', 'cp', 'oldpeak')",9,0.7482698240004324
7,"('age', 'sex', 'cp', 'slope')",15,0.7398584306193001
8,"('age', 'sex', 'cp', 'ca')",9,0.7736126620621742
9,"('age', 'sex', 'cp', 'thal')",7,0.7645160263656262
10,"('age', 'sex', 'trestbps', 'chol')",5,0.6486930316060752
11,"('age', 'sex', 'trestbps', 'fbs')",13,0.6699049792563005
12,"('age', 'sex', 'trestbps', 'restecg')",3,0.6682906992081153
13,"('age', 'sex', 'trestbps', 'thalach')",9,0.7182164132164133
14,"('age', 'sex', 'trestbps', 'exang')",7,0.7267144293146031
15,"('age', 'sex', 'trestbps', 'oldpeak')",19,0.7005986372725503
16,"('age', 'sex', 'trestbps', 'slope')",17,0.722735657260316
17,"('age', 'sex', 'trestbps', 'ca')",13,0.7510368973752546
18,"('age', 'sex', 'trestbps', 'thal')",17,0.7466767145897582
19,"('age', 'sex', 'chol', 'fbs')",11,0.6759604306476923
20,"('age', 'sex', 'chol', 'restecg')",5,0.6589784083719221
21,"('age', 'sex', 'chol', 'thalach')",3,0.7207284193050782
22,"('age', 'sex', 'chol', 'exang')",7,0.729175230566535
23,"('age', 'sex', 'chol', 'oldpeak')",19,0.6780413796908197
24,"('age', 'sex', 'chol', 'slope')",11,0.7276344382938584
25,"('age', 'sex', 'chol', 'ca')",11,0.7762566989229679
26,"('age', 'sex', 'chol', 'thal')",19,0.7299434199724055
27,"('age', 'sex', 'fbs', 'restecg')",19,0.6443916115360129
28,"('age', 'sex', 'fbs', 'thalach')",5,0.7108900982058877
29,"('age', 'sex', 'fbs', 'exang')",11,0.7339030575430534
30,"('age', 'sex', 'fbs', 'oldpeak')",19,0.7182165453977049
31,"('age', 'sex', 'fbs', 'slope')",9,0.7350798015866666
32,"('age', 'sex', 'fbs', 'ca')",7,0.7487265270960923
33,"('age', 'sex', 'fbs', 'thal')",13,0.7632448619550068
34,"('age', 'sex', 'restecg', 'thalach')",3,0.7083659273120333
35,"('age', 'sex', 'restecg', 'exang')",7,0.7355774869676471
36,"('age', 'sex', 'restecg', 'oldpeak')",11,0.6766436287470475
37,"('age', 'sex', 'restecg', 'slope')",9,0.7058786468496614
38,"('age', 'sex', 'restecg', 'ca')",7,0.7824841934205016
39,"('age', 'sex', 'restecg', 'thal')",5,0.7460430305067985
40,"('age', 'sex', 'thalach', 'exang')",11,0.7580247739378174
41,"('age', 'sex', 'thalach', 'oldpeak')",3,0.7329254508084303
42,"('age', 'sex', 'thalach', 'slope')",11,0.7239404681258228
43,"('age', 'sex', 'thalach', 'ca')",9,0.8034697859764932
44,"('age', 'sex', 'thalach', 'thal')",7,0.7845568779047041
45,"('age', 'sex', 'exang', 'oldpeak')",13,0.7351298470718761
46,"('age', 'sex', 'exang', 'slope')",9,0.7400953305953306
47,"('age', 'sex', 'exang', 'ca')",15,0.7772419808638541
48,"('age', 'sex', 'exang', 'thal')",5,0.7410385572559486
49,"('age', 'sex', 'oldpeak', 'slope')",7,0.7287043117912684
50,"('age', 'sex', 'oldpeak', 'ca')",15,0.7858532463242607
51,"('age', 'sex', 'oldpeak', 'thal')",11,0.7338709010852413
52,"('age', 'sex', 'slope', 'ca')",11,0.7884031245190666
53,"('age', 'sex', 'slope', 'thal')",19,0.7671510068031807
54,"('age', 'sex', 'ca', 'thal')",11,0.7963040086590811
55,"('age', 'cp', 'trestbps', 'chol')",15,0.6991262505610332
56,"('age', 'cp', 'trestbps', 'fbs')",19,0.6700694545589095
57,"('age', 'cp', 'trestbps', 'restecg')",3,0.6872864438099715
58,"('age', 'cp', 'trestbps', 'thalach')",5,0.7231235224785949
59,"('age', 'cp', 'trestbps', 'exang')",7,0.7308019158568356
60,"('age', 'cp', 'trestbps', 'oldpeak')",13,0.7254534568923705
61,"('age', 'cp', 'trestbps', 'slope')",9,0.7306158042313649
62,"('age', 'cp', 'trestbps', 'ca')",13,0.7668489524752709
63,"('age', 'cp', 'trestbps', 'thal')",13,0.767580891747177
64,"('age', 'cp', 'chol', 'fbs')",7,0.713357441525882
65,"('age', 'cp', 'chol', 'restecg')",13,0.7105713420122267
66,"('age', 'cp', 'chol', 'thalach')",7,0.751513915995972
67,"('age', 'cp', 'chol', 'exang')",7,0.7527632850241546
68,"('age', 'cp', 'chol', 'oldpeak')",11,0.734181570868701
69,"('age', 'cp', 'chol', 'slope')",15,0.7095954981410559
70,"('age', 'cp', 'chol', 'ca')",13,0.7708454926715796
71,"('age', 'cp', 'chol', 'thal')",11,0.7594016563146997
72,"('age', 'cp', 'fbs', 'restecg')",1,0.6898470241513719
73,"('age', 'cp', 'fbs', 'thalach')",11,0.7354822523296971
74,"('age', 'cp', 'fbs', 'exang')",3,0.7344025139841938
75,"('age', 'cp', 'fbs', 'oldpeak')",9,0.7407820778255562
76,"('age', 'cp', 'fbs', 'slope')",13,0.6895130976779528
77,"('age', 'cp', 'fbs', 'ca')",5,0.7582527837306632
78,"('age', 'cp', 'fbs', 'thal')",19,0.7587776270964677
79,"('age', 'cp', 'restecg', 'thalach')",9,0.7260799681279252
80,"('age', 'cp', 'restecg', 'exang')",7,0.7140678789809225
81,"('age', 'cp', 'restecg', 'oldpeak')",7,0.7591011414137967
82,"('age', 'cp', 'restecg', 'slope')",11,0.7220943298703103
83,"('age', 'cp', 'restecg', 'ca')",15,0.7411104106815988
84,"('age', 'cp', 'restecg', 'thal')",19,0.7578183449457285
85,"('age', 'cp', 'thalach', 'exang')",11,0.7518441298241645
86,"('age', 'cp', 'thalach', 'oldpeak')",19,0.7571702692079346
87,"('age', 'cp', 'thalach', 'slope')",17,0.7264598068658407
88,"('age', 'cp', 'thalach', 'ca')",13,0.7936239227760967
89,"('age', 'cp', 'thalach', 'thal')",17,0.7794535174969958
90,"('age', 'cp', 'exang', 'oldpeak')",17,0.7554964345882045
91,"('age', 'cp', 'exang', 'slope')",15,0.7373540372670807
92,"('age', 'cp', 'exang', 'ca')",11,0.790673967471069
93,"('age', 'cp', 'exang', 'thal')",11,0.7816297695862913
94,"('age', 'cp', 'oldpeak', 'slope')",17,0.7435818636387562
95,"('age', 'cp', 'oldpeak', 'ca')",19,0.8013218487037909
96,"('age', 'cp', 'oldpeak', 'thal')",9,0.7609654934437543
97,"('age', 'cp', 'slope', 'ca')",3,0.784101687362557
